[Header]
GSGX Version	1.9.0
Report Date	7/2/2014 1:28:38 PM
Project	LUNG
Group Set	LUNG
Analysis	LUNG_nonorm_nobkgd
Normalization	none
[Control Probe Profile]
TargetID	ProbeID	6285431096_A.AVG_Signal	6285431096_A.NARRAYS	6285431096_A.ARRAY_STDEV	6285431096_A.BEAD_STDERR	6285431096_A.Avg_NBEADS	6285431096_A.Detection Pval	6285431098_A.AVG_Signal	6285431098_A.NARRAYS	6285431098_A.ARRAY_STDEV	6285431098_A.BEAD_STDERR	6285431098_A.Avg_NBEADS	6285431098_A.Detection Pval	6285431098_B.AVG_Signal	6285431098_B.NARRAYS	6285431098_B.ARRAY_STDEV	6285431098_B.BEAD_STDERR	6285431098_B.Avg_NBEADS	6285431098_B.Detection Pval	6285431096_B.AVG_Signal	6285431096_B.NARRAYS	6285431096_B.ARRAY_STDEV	6285431096_B.BEAD_STDERR	6285431096_B.Avg_NBEADS	6285431096_B.Detection Pval	6285431098_C.AVG_Signal	6285431098_C.NARRAYS	6285431098_C.ARRAY_STDEV	6285431098_C.BEAD_STDERR	6285431098_C.Avg_NBEADS	6285431098_C.Detection Pval	6285431098_D.AVG_Signal	6285431098_D.NARRAYS	6285431098_D.ARRAY_STDEV	6285431098_D.BEAD_STDERR	6285431098_D.Avg_NBEADS	6285431098_D.Detection Pval	6285431096_C.AVG_Signal	6285431096_C.NARRAYS	6285431096_C.ARRAY_STDEV	6285431096_C.BEAD_STDERR	6285431096_C.Avg_NBEADS	6285431096_C.Detection Pval	6285431096_D.AVG_Signal	6285431096_D.NARRAYS	6285431096_D.ARRAY_STDEV	6285431096_D.BEAD_STDERR	6285431096_D.Avg_NBEADS	6285431096_D.Detection Pval	6285431096_E.AVG_Signal	6285431096_E.NARRAYS	6285431096_E.ARRAY_STDEV	6285431096_E.BEAD_STDERR	6285431096_E.Avg_NBEADS	6285431096_E.Detection Pval	6285431096_F.AVG_Signal	6285431096_F.NARRAYS	6285431096_F.ARRAY_STDEV	6285431096_F.BEAD_STDERR	6285431096_F.Avg_NBEADS	6285431096_F.Detection Pval	6285431098_E.AVG_Signal	6285431098_E.NARRAYS	6285431098_E.ARRAY_STDEV	6285431098_E.BEAD_STDERR	6285431098_E.Avg_NBEADS	6285431098_E.Detection Pval	6285431098_F.AVG_Signal	6285431098_F.NARRAYS	6285431098_F.ARRAY_STDEV	6285431098_F.BEAD_STDERR	6285431098_F.Avg_NBEADS	6285431098_F.Detection Pval	
HOUSEKEEPING	6280626	25036.0	1	NaN	870.353	85	0.00000	39271.6	1	NaN	832.809	95	0.00000	38229.6	1	NaN	797.975	80	0.00000	15781.1	1	NaN	538.836	73	0.00000	24531.1	1	NaN	524.723	86	0.00000	41898.5	1	NaN	894.952	93	0.00000	11059.6	1	NaN	342.759	79	0.00000	11758.5	1	NaN	345.037	89	0.00000	7942.6	1	NaN	250.373	72	0.00000	11198.1	1	NaN	358.437	87	0.00000	35895.5	1	NaN	865.542	94	0.00000	35852.9	1	NaN	802.635	72	0.00000	
HOUSEKEEPING	6940475	3692.8	1	NaN	113.634	122	0.00000	6301.6	1	NaN	119.302	124	0.00000	6916.7	1	NaN	133.154	123	0.00000	3500.8	1	NaN	113.749	115	0.00000	5004.5	1	NaN	107.662	132	0.00000	11225.9	1	NaN	231.052	135	0.00000	1442.7	1	NaN	35.282	138	0.00000	1386.4	1	NaN	38.736	124	0.00000	923.4	1	NaN	26.365	141	0.00000	3223.7	1	NaN	113.927	90	0.00000	8663.8	1	NaN	232.234	115	0.00000	8715.4	1	NaN	208.742	137	0.00000	
LABELING	780743	125.5	1	NaN	3.423	128	0.75534	126.9	1	NaN	3.156	100	0.21368	117.6	1	NaN	2.550	113	0.59081	123.9	1	NaN	3.694	103	0.57372	115.5	1	NaN	2.250	134	0.30128	124.0	1	NaN	2.595	122	0.27778	121.5	1	NaN	3.620	113	0.49359	123.2	1	NaN	3.704	131	0.35256	121.6	1	NaN	3.263	146	0.35043	121.0	1	NaN	3.648	106	0.38996	107.7	1	NaN	2.528	120	0.46154	113.1	1	NaN	2.444	125	0.17949	
LABELING	940722	132.5	1	NaN	4.932	80	0.50962	116.7	1	NaN	3.065	59	0.73718	113.0	1	NaN	2.981	65	0.81731	122.6	1	NaN	4.433	78	0.62607	109.1	1	NaN	3.206	65	0.69765	115.5	1	NaN	2.787	71	0.73611	122.7	1	NaN	3.554	70	0.45192	120.0	1	NaN	4.567	68	0.49786	118.0	1	NaN	4.298	78	0.51282	126.2	1	NaN	4.949	70	0.20192	105.3	1	NaN	3.192	81	0.61432	101.6	1	NaN	2.805	77	0.83974	
LABELING	1940497	132.1	1	NaN	3.596	118	0.52350	117.3	1	NaN	2.443	122	0.70727	110.6	1	NaN	2.484	94	0.90705	130.4	1	NaN	3.996	114	0.32479	111.9	1	NaN	2.128	109	0.51816	119.7	1	NaN	2.610	117	0.50321	124.3	1	NaN	3.155	130	0.37927	121.3	1	NaN	3.152	120	0.42949	119.8	1	NaN	2.983	135	0.42094	116.0	1	NaN	3.163	124	0.59615	102.6	1	NaN	2.760	104	0.76603	105.0	1	NaN	1.766	146	0.66774	
LABELING	4250634	127.2	1	NaN	3.489	122	0.69444	117.5	1	NaN	2.343	97	0.69551	116.1	1	NaN	2.707	96	0.67201	114.4	1	NaN	3.121	137	0.88141	107.0	1	NaN	2.111	97	0.80769	117.9	1	NaN	2.515	115	0.59081	119.6	1	NaN	3.181	122	0.58761	115.4	1	NaN	3.279	111	0.68376	115.5	1	NaN	3.192	127	0.60791	102.6	1	NaN	2.690	99	0.94124	99.5	1	NaN	2.255	112	0.88782	98.6	1	NaN	2.174	99	0.94765	
LABELING	4670747	127.1	1	NaN	3.722	99	0.69872	118.9	1	NaN	2.100	138	0.61325	114.4	1	NaN	2.259	110	0.75641	118.4	1	NaN	3.221	105	0.76709	110.4	1	NaN	2.439	108	0.61218	120.4	1	NaN	2.906	98	0.45833	123.3	1	NaN	3.727	91	0.41560	118.1	1	NaN	3.224	118	0.57692	123.3	1	NaN	3.343	117	0.28312	111.1	1	NaN	2.679	122	0.76175	109.5	1	NaN	2.391	125	0.34829	106.5	1	NaN	2.524	115	0.55128	
LABELING	5340458	135.9	1	NaN	3.273	147	0.37607	120.1	1	NaN	3.041	105	0.55235	108.2	1	NaN	1.927	104	0.95513	123.5	1	NaN	3.414	123	0.59081	107.8	1	NaN	1.717	137	0.77137	119.4	1	NaN	2.805	110	0.51603	130.5	1	NaN	3.617	129	0.19338	123.8	1	NaN	3.369	114	0.33013	117.2	1	NaN	2.742	118	0.54380	118.8	1	NaN	3.440	111	0.49359	104.0	1	NaN	2.453	110	0.67949	106.5	1	NaN	2.225	129	0.55342	
LABELING	6180066	129.6	1	NaN	4.173	98	0.60577	120.8	1	NaN	2.457	120	0.51496	119.0	1	NaN	2.624	96	0.50748	126.1	1	NaN	3.526	113	0.48718	125.6	1	NaN	3.320	121	0.04274	128.1	1	NaN	2.588	105	0.16239	112.9	1	NaN	3.113	116	0.81517	122.2	1	NaN	2.906	127	0.39316	115.3	1	NaN	3.087	129	0.61218	112.0	1	NaN	2.925	116	0.73291	111.5	1	NaN	2.799	132	0.25107	107.2	1	NaN	2.365	118	0.50107	
LABELING	7160747	130.2	1	NaN	3.268	134	0.59722	120.8	1	NaN	2.246	124	0.51282	115.1	1	NaN	2.208	132	0.72329	129.0	1	NaN	3.906	116	0.37179	111.1	1	NaN	2.404	117	0.56838	111.4	1	NaN	2.138	105	0.89637	118.1	1	NaN	3.174	111	0.64744	115.7	1	NaN	2.812	133	0.67201	121.6	1	NaN	2.897	135	0.34936	120.9	1	NaN	3.302	115	0.39957	108.2	1	NaN	2.625	118	0.41987	103.9	1	NaN	1.931	129	0.72863	
